threads,memory,joins,mean,std_dev,mad,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
4,1GB,1,0.0033079147338867187,0.00030749217558653856,0.00015795230865478516,0.0036232471466064453,0.003908872604370117,0.0032150745391845703,0.0030677318572998047,0.0030989646911621094,0.0035851001739501953,0.0031821727752685547,0.0033779144287109375,0.003062009811401367,0.002958059310913086
4,1GB,2,0.01586489677429199,0.0005623028019129817,0.000308990478515625,0.016857147216796875,0.016752004623413086,0.016137123107910156,0.015659093856811523,0.01600480079650879,0.015623807907104492,0.01553201675415039,0.015418052673339844,0.01529693603515625,0.015367984771728516
4,1GB,3,0.01735849380493164,0.0003581719639401392,0.00017583370208740234,0.017692089080810547,0.01719379425048828,0.017266035079956055,0.017357826232910156,0.018110990524291992,0.017673969268798828,0.0171661376953125,0.01708698272705078,0.017015933990478516,0.01702117919921875
4,1GB,5,0.020047831535339355,0.0004490607457040521,0.0001455545425415039,0.019941091537475586,0.019908905029296875,0.019916057586669922,0.021006107330322266,0.020631790161132812,0.020077228546142578,0.01978611946105957,0.019696950912475586,0.01948690414428711,0.02002716064453125
4,1GB,10,0.18174436092376708,0.005300270406308929,0.004433870315551758,0.18595004081726074,0.18547821044921875,0.18776893615722656,0.18715500831604004,0.18637537956237793,0.17723631858825684,0.18057799339294434,0.17604780197143555,0.17577099800109863,0.17508292198181152
4,2GB,1,0.0031627416610717773,0.00040568766334160106,2.8967857360839844e-05,0.0029859542846679688,0.0029549598693847656,0.004196882247924805,0.0031082630157470703,0.002948760986328125,0.002956867218017578,0.002937793731689453,0.003534078598022461,0.003056764602661133,0.002947092056274414
4,2GB,2,0.015934205055236815,0.0006609597584865404,0.0002503395080566406,0.01678180694580078,0.01735997200012207,0.01571202278137207,0.015508174896240234,0.015769004821777344,0.016206979751586914,0.015720844268798828,0.015558004379272461,0.015424013137817383,0.015301227569580078
4,2GB,3,0.017270231246948244,0.00038862685400441145,0.0002397298812866211,0.017360210418701172,0.01725602149963379,0.017224788665771484,0.01714181900024414,0.018139123916625977,0.017505168914794922,0.016974925994873047,0.016816139221191406,0.017455101013183594,0.01682901382446289
4,2GB,5,0.01986584663391113,0.0004566280945874783,0.00010991096496582031,0.020002126693725586,0.01975393295288086,0.01961207389831543,0.02073812484741211,0.02062821388244629,0.01972675323486328,0.019626140594482422,0.019565105438232422,0.01956796646118164,0.01943802833557129
4,2GB,10,0.181166934967041,0.004638016677063677,0.0042955875396728516,0.1854991912841797,0.18643403053283691,0.18625426292419434,0.18494701385498047,0.18311405181884766,0.18002080917358398,0.17854690551757812,0.17690801620483398,0.17478394508361816,0.17516112327575684
4,4GB,1,0.0031903982162475586,0.0002690903676268497,9.608268737792969e-05,0.003092050552368164,0.002988100051879883,0.0038259029388427734,0.0029981136322021484,0.0033121109008789062,0.003061056137084961,0.0029997825622558594,0.003389120101928711,0.002972841262817383,0.003264904022216797
4,4GB,2,0.015922021865844727,0.0006421506089369166,0.0002300739288330078,0.016738176345825195,0.016473054885864258,0.015780210494995117,0.015486955642700195,0.015491962432861328,0.017170190811157227,0.015805959701538086,0.015564918518066406,0.015398025512695312,0.01531076431274414
4,4GB,3,0.017020177841186524,0.00028763198319494744,8.547306060791016e-05,0.017414093017578125,0.016947031021118164,0.01685309410095215,0.016749858856201172,0.017573118209838867,0.017253875732421875,0.016934871673583984,0.016855955123901367,0.016803741455078125,0.016816139221191406
4,4GB,5,0.02043156623840332,0.0012170799831485327,0.00019097328186035156,0.019711017608642578,0.019746065139770508,0.022418975830078125,0.022968769073486328,0.019954204559326172,0.020346879959106445,0.01994180679321289,0.019767045974731445,0.0198972225189209,0.019563674926757812
4,4GB,10,0.18074629306793213,0.005464663457818043,0.0043076276779174805,0.18550491333007812,0.18816614151000977,0.18523311614990234,0.18758511543273926,0.1817028522491455,0.17583894729614258,0.17452001571655273,0.17718863487243652,0.17596697807312012,0.17575621604919434
4,8GB,1,0.00311431884765625,0.00025007370557553774,4.8041343688964844e-05,0.003000020980834961,0.0029408931732177734,0.0036458969116210938,0.0030641555786132812,0.0030050277709960938,0.002978086471557617,0.002958059310913086,0.0035130977630615234,0.0030541419982910156,0.0029838085174560547
4,8GB,2,0.015868782997131348,0.0005896093576815416,0.00048041343688964844,0.016253948211669922,0.01591014862060547,0.016794681549072266,0.01571512222290039,0.01587820053100586,0.016722917556762695,0.015799999237060547,0.015293121337890625,0.015275716781616211,0.015043973922729492
4,8GB,3,0.016994285583496093,0.00043320765606256985,0.00011432170867919922,0.017271995544433594,0.016969919204711914,0.016858816146850586,0.016948938369750977,0.016701936721801758,0.018130779266357422,0.01680302619934082,0.016720294952392578,0.01675701141357422,0.01678013801574707
4,8GB,5,0.01990349292755127,0.0002832613189833428,0.0001125335693359375,0.020256996154785156,0.019844770431518555,0.019767045974731445,0.0205230712890625,0.020003080368041992,0.019767045974731445,0.01985001564025879,0.019687891006469727,0.0196988582611084,0.019636154174804688
4,8GB,10,0.18278393745422364,0.004405379841691395,0.0018546581268310547,0.1865379810333252,0.18589520454406738,0.18535399436950684,0.1868143081665039,0.17815089225769043,0.17459893226623535,0.18428897857666016,0.17773199081420898,0.18618226051330566,0.18228483200073242
